Name,Description,Type
id,An identifier variable that uniquely identifies each response,Text
submission_date,Timestamp that determines when the data was received,Timestamp
business_dist,District of residence of the business,Text
business_type,Type of business,Categorical
business_yrs_in_operation,How long business has been in operation for?,Categorical
stop_business,Did you have to stop your business due to COVID-19 pandemic?,Categorical
how_lng_stop_business,For how long did you have to stop your business due to COVID-19 pandemic?,Categorical
business_effect_by_reduced_vol_business,"Flag variable that indicates whether the respondent observed ""reduced volume of business""",Boolean
business_effect_by_increased_covid_cases,"Flag variable that indicates whether the respondent observed ""increased COVID-19 cases in their area""",Boolean
business_effect_by_emplys_covid_situation,"Flag variable that indicates whether the respondent observed ""their employees were affected by COVID-19""",Boolean
business_effect_by_human_resources_shortage,"Flag variable that indicates whether the respondent observed ""shortage of human resources""",Boolean
business_effect_by_supply_chain_disruption,"Flag variable that indicates whether the respondent observed ""supply chain disruption""",Boolean
business_effect_by_lack_sevices_access,"Flag variable that indicates whether the respondent observed ""lack of access to services due to government-imposed lockdown""",Boolean
business_effect_by_lack_mobility,"Flag variable that indicates whether the respondent observed ""lack of mobility due to government-imposed lockdown""",Boolean
business_effect_by_patners_disagrmnt,"Flag variable that indicates whether the respondent observed ""disagreement with partners/fallout""",Boolean
business_effect_by_lack_fin_resources,"Flag variable that indicates whether the respondent observed "" lack of adequate financial resources""",Boolean
business_effect_by_other,"Flag variable that indicates whether the respondent observed "" any other impacts "" due to COVID-19 pandemic.",Boolean
business_no_effect,Flag variable that indicates whether the respondent didn't observed any affect in their business operations,Boolean
most_significant_effect_business,We also asked businesses to rank order their choices for the above multi-select question. This column captures what each respondent chose as their first option.,Categorical
wrkfrc_actn_reduced_temporary_workers,"Flag variable that indicates whether the respondent ""had to reduced the number of temporary workers""",Boolean
wrkfrc_actn_reduced_permanent_workers,"Flag variable that indicates whether the respondent ""had to reduced the number of permanent workers""",Boolean
wrkfrc_actn_reduced_working_hours,"Flag variable that indicates whether the respondent ""had to reduce the working hours""",Boolean
wrkfrc_actn_introduced_rotational_employment,"Flag variable that indicates whether the respondent ""had to introduce rotational employment""",Boolean
wrkfrc_actn_asked_workers_paid_leave,"Flag variable that indicates whether the respondent ""had to ask workers to take paid leave""",Boolean
wrkfrc_actn_asked_workers_unpaid_leave,"Flag variable that indicates whether the respondent ""had to ask workers to take unpaid leave""",Boolean
wrkfrc_actn_asked_workers_reduced_pay,"Flag variable that indicates whether the respondent ""had to ask workers to work for reduced pay""",Boolean
wrkfrc_actn_decreased_employee_benefits,"Flag variable that indicates whether the respondent ""had to decrease or remove employee benefits (like perks, bonus, etc.)""",Boolean
wrkfrc_actn_other,"Flag variable that indicates whether the respondent ""had to take other workforce related actions beside given options""",Boolean
no_wrkfrc_actn,"Flag variable that indicates whether the respondent ""didn't had to take any workforce-related actions""",Boolean
loan_impact_took_loan_easily,"Flag variable that indicates whether the respondent ""took loan(s) quite easily to continue their business""",Boolean
loan_impact_couldnt_take_loan,"Flag variable that indicates whether the respondent ""tried but could not take loans""",Boolean
loan_impact_took_loan_difficultly,"Flag variable that indicates whether the respondent ""took loans but faced significant difficulties in taking loans""",Boolean
loan_impact_difficult_paying_existing_loan,"Flag variable that indicates whether the respondent ""faced difficulty in paying back existing loans""",Boolean
loan_impact_other,"Flag variable that indicates whether the respondent ""faced any other loan related impacts""",Boolean
no_loan_impact,"Flag variable that indicates whether the respondent ""faced none of the provided loan related impacts""",Boolean
asset_impact_sold_assets,"Flag variable that indicates whether the respondent ""sold some of their assets (e.g. vehicles, equipment, buildings, land)""",Boolean
asset_impact_couldnt_sell_assets,"Flag variable that indicates whether the respondent ""could not find buyers when wanted to sell their assets""",Boolean
asset_impact_rented_assets,"Flag variable that indicates whether the respondent ""rented out some of their assets""",Boolean
asset_impact_other,"Flag variable that indicates whether the respondent ""faced any other assets related impacts""",Boolean
no_asset_impact,"Flag variable that indicates whether the respondent ""faced none of the provided assets related impacts""",Boolean
cost_impact_couldnt_cover_operating_cost,"Flag variable that indicates whether the respondent ""could not cover their operating costs (e.g. rent, electricity, etc.)""",Boolean
cost_impact_cancelled_investment_plans,"Flag variable that indicates whether the respondent ""canceled or postponed their investment plans""",Boolean
cost_impact_made_visit_nepal_investments,"Flag variable that indicates whether the respondent ""had made significant investments specifically targeting Visit Nepal 2020""",Boolean
cost_impact_other,"Flag variable that indicates whether the respondent ""faced any other cost related impacts""",Boolean
no_cost_impact,"Flag variable that indicates whether the respondent ""faced none of the provided costs related impacts""",Boolean
location_impact_moved_business,"Flag variable that indicates whether the respondent ""moved their business/office to a different location""",Boolean
location_impact_closed_branches,"Flag variable that indicates whether the respondent ""closed down some of their offices/branches""",Boolean
location_impact_tried_couldnt_move_business,"Flag variable that indicates whether the respondent ""tried to move their business/office but couldn't move""",Boolean
location_impact_other,"Flag variable that indicates whether the respondent "" faced any other location related impacts""",Boolean
no_location_impact,"Flag variable that indicates whether the respondent "" faced none of the provided location related impacts""",Boolean
eqty_ownrshp_impact_sold_entire_business,"Flag variable that indicates whether the respondent ""sold their entire business""",Boolean
eqty_ownrshp_impact_tried_couldnt_sell_business,"Flag variable that indicates whether the respondent ""tried to sell their entire business but could not find buyers""",Boolean
eqty_ownrshp_impact_sold_some_business_equity,"Flag variable that indicates whether the respondent ""sold some equity (ownership) of their business""",Boolean
eqty_ownrshp_impact_tried_couldnt_sell_some_equity,"Flag variable that indicates whether the respondent ""tried to sell some of their equity but could not find buyers""",Boolean
eqty_ownrshp_impact_other,"Flag variable that indicates whether the respondent "" faced any other equity and ownership related impacts""",Boolean
no_eqty_ownrshp_impact,"Flag variable that indicates whether the respondent faced ""none of the provided equity and ownership related impacts""",Boolean
fin_effect_other,"Flag variable that indicates if the respondent faced ""any other financial impacts""",Boolean
n_employes_pre_covid,How many people did your business employ before the pandemic?,Categorical
wrkfrc_size_chng_2020_v_2019,"Compared to 2019, how has the size of your workforce changed in 2020 (During the pandemic)?",Categorical
revenue_chng_2020_v_2019,"Compared to 2019, how have your business revenues changed in 2020 (During the pandemic)?",Categorical
savings_chng_2020_v_2019,"Compared to 2019, how has your business's savings changed in 2020 (During the pandemic)?",Categorical
accomondation_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Accommodation services (overnight stay)"" before the pandemic.",Boolean
adventure_equipment_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Adventure equipment renting services"" before the pandemic.",Boolean
adventure_sports_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Adventure sports (rafting, bungee, etc.) services"" before the pandemic.",Boolean
bar_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Bar services"" before the pandemic.",Boolean
flight_booking_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Flight booking services"" before the pandemic.",Boolean
food_delivery_service_offered_pre_covid,"Flag variable that indicates whether the respondent used to provide ""Food delivery services"" before the pandemic.",Boolean
