id,submission_date,occpatn_shopkeeper_pre_covid,occpatn_tour_guide_pre_covid,occpatn_trekking_guide_pre_covid,occpatn_rafting_guide_pre_covid,occpatn_mountain_guide_pre_covid,occpatn_driver_pre_covid,occpatn_travel_agent_pre_covid,occpatn_flight_attendent_pre_covid,occpatn_pilot_pre_covid,occpatn_cook_pre_covid,occpatn_hotel_manager_pre_covid,occpatn_hotel_staff_pre_covid,occpatn_waiter_pre_covid,occpatn_bartender_pre_covid,occpatn_porter_pre_covid,other_occpatn_pre_covid,had_frml_employment_contract_pre_covid,had_pan_pre_covid,wrk_type_seasonal_pre_covid,wrk_type_daily_wages_pre_covid,wrk_type_monthly_salary_pre_covid,other_wrk_type_pre_covid,sesonal_work_period,gender_individual,age_individual,education_level_individual,years_of_experience_individual,permanent_district_individual,temporary_district_individual,prsnt_job_status,had_to_change_job_in_trsm,job_in_trsm_changed_to_shopkeeper,job_in_trsm_changed_to_tour_guide,job_in_trsm_changed_to_trekking_guide,job_in_trsm_changed_to_rafting_guide,job_in_trsm_changed_to_mountain_guide,job_in_trsm_changed_to_driver,job_in_trsm_changed_to_travel_agent,job_in_trsm_changed_to_flight_attendent,job_in_trsm_changed_to_pilot,job_in_trsm_changed_to_cook,job_in_trsm_changed_to_hotel_manager,job_in_trsm_changed_to_hotel_staff,job_in_trsm_changed_to_waiter,job_in_trsm_changed_to_bartender,job_in_trsm_changed_to_porter,job_in_trsm_changed_to_other,had_to_change_employer_in_trsm,has_frml_employment_contract_current_trsm_job,have_to_pay_tax_current_trsm_job,add_work_on_agriculture_animal_husbandry,add_work_on_daily_wages,add_work_on_business_occupation,add_work_on_job_estate,add_work_on_professional_work,add_work_on_other_sector,also_had_to_change_add_trsm_job,add_trsm_job_changed_to_shopkeeper,add_trsm_job_changed_to_tour_guide,add_trsm_job_changed_to_trekking_gude,add_trsm_job_changed_to_rafting_guide,add_trsm_job_changed_to_mountain_guide,add_trsm_job_changed_to_driver,add_trsm_job_changed_to_travel_agent,add_trsm_job_changed_to_flight_attendant,add_trsm_job_changed_to_pilot,add_trsm_job_changed_to_cook,add_trsm_job_changed_to_hotel_manager,add_trsm_job_changed_to_hotel_staff,add_trsm_job_changed_to_waiter,add_trsm_job_changed_to_bartender,add_trsm_job_changed_to_porter,add_trsm_job_changed_to_other,had_to_change_employer_add_trsm_job,has_frml_employment_contract_current_add_trsm_job,have_to_pay_tax_current_add_trsm_job,left_trsm_havent_got_new_job,left_trsm_working_on_agriculture_animal_husbandry,left_trsm_working_on_daily_wages,left_trsm_working_on_busniess_occupation,left_trsm_working_on_job_estate,left_trsm_working_on_professional_job,left_trsm_working_on_other_sector,self_had_to_migrate_to_different_location,duration_self_temporary_migration,self_migrated_to_district,family_had_to_migrate_to_different_location,family_migrated_to_district,covid_infectn_self,covid_infectn_self_time,covid_infectn_family,lost_job_due_covid,lost_employment_due_covid,took_low_esteem_job_due_covid,worked_on_reduced_salary_due_covid,worrked_on_rotational_employment_due_covid,could_not_renew_licence_permit_due_covid,suffered_other_impact_due_covid,did_not_suffer_impact_due_covid,full_salary_last_date,took_loan_financial_instutions_due_covid,took_loan_friends_family_due_covid,stopped_family_education_due_covid,stopped_family_health_services_due_covid,sold_personal_assets_due_covid,sold_professional_assets_due_covid,sold_land_property_due_covid,suffered_other_econ_impact_due_covid,did_not_suffer_econ_impact_due_covid,self_incm_chng_2020_v_2019,thought_hard_about_covid_effects,felt_alert_frightened_due_covid_effects,felt_isolated_from_people_environment,had_bad_dreams_about_covid_effects,blamed_self_others_for_hardships_due_covid,felt_increased_social_pressure_due_covid,felt_animosity_within_family_due_covid,took_mental_health_counselling_due_covid,trsm_major_work_district
181454796,2021-05-31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Gorkha,Kathmandu,"Yes, I am working in tourism sector only",0,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but I've moved back since",2 to 6 months,,"Yes, they are living in the same village / city but in a different neighborhood",,0,,0,1,1,1,1,0,0,0,0,Before COVID-19 lockdown (Before March 2020),1,1,0,0,0,0,0,0,0,Total income was almost zero,1,0,0,0,0,0,0,0,"Baglung, Bhaktapur, Chitawan, Dailekh, Dhading, Dolakha, Dolpa, Gorkha, Gulmi, Humla, Ilam, Jajarkot, Jhapa, Jumla, Kailali, Kalikot, Kanchanpur, Kapilbastu, Kaski, Kathmandu, Kavrepalanchok, Khotang, Lalitpur, Lamjung, Makwanpur, Manang, Mugu, Mustang, Myagdi, Nawalpur, Nuwakot, Okhaldhunga, Palpa, Panchthar, Parbat, Pyuthan, Ramechhap, Rasuwa, Rolpa, Rukum East, Rupandehi, Sankhuwasabha, Sindhuli, Sindhupalchok, Solukhumbu, Surkhet, Tanahu, Taplejung, Terhathum"
180535647,2021-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4 to 6 months,Male,41 - 60 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, i am living in the same place",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,0,0,0,0,0,0,"Chitawan, Kaski, Manang, Mustang, Rasuwa, Solukhumbu, Taplejung"
172149666,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Sindhuli,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, i am living in the same place",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,1,1,0,0,0,0,0,Total income was almost zero,1,0,1,0,1,1,0,0,"Gorkha, Kaski, Manang, Rasuwa, Solukhumbu"
172148949,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Rasuwa,Chitawan,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, i am living in the same place",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,0,1,1,1,0,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172148572,2021-04-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7 to 9 months,Female,21 - 40 years,SLC or equivalent,6 to 10 years,Kathmandu,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, switched to a different neighbourhood ",,,"No, they are still living in the same place",,0,,1,1,0,0,0,0,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,1,1,1,0,0,"Chitawan, Dhading, Kaski, Manang, Mustang, Sindhupalchok"
172148135,2021-04-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,10+2 or equivalent,6 to 10 years,Dolakha,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, switched to a different neighbourhood ",,,"Yes, they are living in the same village / city but in a different neighborhood",,0,,0,1,0,0,0,1,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,1,0,0,0,0,0,0,Total income was almost zero,0,0,1,1,1,1,1,0,"Dolakha, Gorkha, Morang, Solukhumbu, Taplejung"
172147628,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Ramechhap,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, switched to a different neighbourhood ",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,1,1,1,1,0,"Gorkha, Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172147212,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, i am living in the same place",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,1,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,0,1,1,1,0,"Kaski, Manang, Rasuwa, Sankhuwasabha, Solukhumbu"
172146388,2021-04-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, switched to a different neighbourhood ",,,"Yes, they are living in the same village / city but in a different neighborhood",,0,,0,1,0,0,0,1,0,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,1,1,1,1,0,"Kaski, Manang, Mustang, Rasuwa, Solukhumbu"
172145729,2021-04-17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4 to 6 months,Male,21 - 40 years,SLC or equivalent,6 to 10 years,Solukhumbu,Kathmandu,"No, currently unemployed but looking for work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, i am living in the same place",,,"No, they are still living in the same place",,0,,0,1,0,0,0,0,1,0,0,Before COVID-19 lockdown (Before March 2020),0,1,0,0,0,0,0,0,0,Total income was almost zero,0,0,1,1,1,1,1,0,"Kaski, Manang, Mustang, Rasuwa, Sankhuwasabha, Sindhupalchok, Solukhumbu, Taplejung"
