variable,ques_ne,ques_en,askedTotal,group,askedCondition,subGroups,highlights,universe
i_covid_effect_business,महामारीको क्रममा यी मध्ये कुन कारकले तपाईको व्यवसाय अपरेसनलाई असर गर्यो?,Which of the following factors affected your business operations during the pandemic?,112,impact,general,Factors that affected business operations:,"Due to Covid-19, various factors arised that caused big disruption in tourism businesses in Nepal",112
i_econ_stop_business,के तपाईंले कोभिड-१९ महामारीको कारण आफ्नो व्यवसाय बन्द गर्नु पर्यो ?,Did you have to stop your business due to COVID-19 pandemic?,112,impact,general,That led to:,"Around 95% businesses shut down, among them 17% will never open again",112
i_econ_stop_business_how_lng,कति समय सम्म तपाईंले आफ्नो व्यापार बन्द गर्नु पर्यो ?,For how long did you have to stop your business?,87,impact,business temporarily stopped,That led to:,Among them around 80% were shut down for more than 6 months,112
o_perm_stop_biz_start_new_biz_job,स्थायी रूपमा बन्द व्यवसायको स्थिति के छ?,What is the status of permanently stopped business?,19,impact,business that are permanently stopped,That led to:,Permanently stopped businesses forced without new job or businesses,112
i_fin_revenue_chng_2020_v_2019,२०१९को तुलानामा महमारिको कारणले २०२० मा तपाईंको व्यापार राजस्वमा परिवर्तन भएको छ ?,"Compared to 2019, how have your business revenues changed in 2020?",112,impact,general,That led to:,Revenues for most of the businesses is almost zero,112
i_fin_savings_chng_2020_v_2019,२०१९को तुलानामा महमारिको कारणले २०२० मा तपाईंको व्यवसायको बचतमा परिवर्तन भएको छ ?,"Compared to 2019, how has your business’s savings changed in 2020?",112,impact,general,That led to:,95% businesses have less than a quarter of savings left. Among them around 85% had to burrow additional money,112
i_fin_effect_cost_invstmnt,महामारीका कारण तलका कुन कुन लागत सम्बन्धित असर तपाईंको व्यवसायले सामना गर्नु पर्‍यो?,Which of the following costs related impacts did your business have to face due to the pandemic?,112,impact,general,That led to:,80% of the businesses couldn't cover their operating costs,112
i_wrkfrc_actn_during_covid,महामारीको कारणले तलका मध्ये कुन कार्यबल सम्बन्धित कार्य तपाईंको व्यापारले गरेको छ ?,Which of the following workforce-related actions did your business take due to the pandemic?,112,preparedness,general,Coping mechanism:,"Laying off workers: As most of the business were closed, business were forced to reduce workers temporarily or permanently.",112
i_wrkfrc_size_chng_2020_v_2019,२०१९को तुलानामा महमारिको कारणले २०२० मा तपाईंको व्यवसायको कार्यबल क्षमतामा परिवर्तन भएको छ ?,"Compared to 2019, how has the size of your workforce changed in 2020?",112,preparedness,general,Coping mechanism:,Laying off workers: Around 65% of the business has layed off more than three quarters of employees,112
i_fin_effect_loan_avlblty,तलको कुन ऋण सम्बन्धित प्रभावहरू तपाईंको व्यवसायलाई महामारीको कारण सामना गर्नुपर्‍यो?,Which of the following loan related impacts did your business have to face due to the pandemic?,112,preparedness,general,Coping mechanism:,Burrowing money but burrowing wasn't easy,112
