variable,ques_ne,ques_en,askedTotal,group,askedCondition,subGroups,highlights,universe
i_lvlhd_domicile_chng_self_fml,कोभिड-१९ को कारणले के तपाईंं आफु बस्दै आएको ठाउँ परिवर्तन गर्नुपर्यो?,"Due to COVID-19, did you have to migrate to a different location?",258,impact,general,Impact on livelihood,More than 55% had to relocate,258
i_empl_covid_effects,कोभिड-१९ ले ल्याएको आर्थिक मन्दीका कारणले गर्दा के तपाईंंले निम्न मध्ये कुनै भोग्नुपर्यो?,Did you experience any of the following due to the economic downturn brought about by covid-19?,258,impact,general,Impact on livelihood,More than 80% lost job,258
i_empl_jb_prsnt_status,के तपाईंं अझै पर्यटन क्षेत्रमै काम गर्दै हुनुहुन्छ ?,Are you still working in the tourism sector?,258,impact,general,Impact on livelihood,More than 70% left unemployed,258
i_econ_incm_chng_self,सन् २०१९ को तुलनामा सन् २०२० मा तपाईंंको कुल आय कसरी परिवर्तन भयो?,How did your total income change in 2020 compared to 2019?,258,impact,general,Impact on finance,More than 80% has total income almost zero,258
i_empl_lst_date_full_salary,पछिल्लो पल्ट आफ्नो पूर्ण तलब (वा आम्दानी) पाउनुभएको कति भयो?,When was the last time you received your full salary (or full income)?,258,impact,general,Impact on finance,82% received full salary for the last time before March 2020(i.e. Before 1st COVID-19 lockdown),258
p_econ_self_savings_chng_today_v_19,सन् २०१९ को तुलनामा तपाईंँको बचत अहिले कति बाँकी रहेको छ ?,"Compared to the end of 2019, how much savings do you have now?",258,impact,general,Impact on finance,Savings reduced to less than 25% for more than 90% of respondents,258
p_lvlhd_num_depndnt_fml_membrs_post_covid,कोभिड-१९ भन्दा पछी तपाईंँको आयमा तपाईंँ लगायत कति जना परिवार सदस्यहरू निर्भर छन् ?,"How many family members, including yourself, depend on your income after Covid-19?",258,impact,general,Impact on finance,"Most of them have more than 3 people to look after, but...",258
p_lvlhd_num_depndnt_need_fml_membrs_post_covid,तपाईंँको हालको आय कति जना परिवार सदस्यको आधारभूत आवश्यकता पूर्ति गर्न पर्याप्त छ ?,How many of your family members’ basic needs can be met by your current income?,258,impact,general,Impact on finance,... income is not even sufficient for themselves,258
p_econ_outstndng_loans_self,के तपाईंँको कुनै ऋण तिर्न बाँकी छ ?,Do you have an outstanding debt?,258,impact,general,Impact on finance,Trouble ahead: 93% are already in some kind of debt,258
i_hlth_covid_infectn_self_fml,के तपाईंँको परिवारमा कसैलाई कोभिड-१९ लागेको छ/थियो?,Have any one in your family ever been infected by COVID-19?,258,impact,general,Impact on health,Avoided COVID-19 infection…,258
i_mental_hlth,कोभिड-१९ to को कारणले गर्दा तपाईंले निम्न मध्ये कुनै पनि मनोवैज्ञानिक प्रभावहरू भोग्नुभयो?,Did you suffer any of the following psycho-social impact due to covid-19?,258,impact,general,Impact on health,"...but couldn't avoid psycho-social impact, About 95% reported some sort of psycho-social impact",258
p_econ_altrnt_incm_src_self_fml_flg,तपाईंं अथवा तपाईंँको परिवारको पर्यटन बाहेक वैकल्पिक आय श्रोत छ?,Do you or your family have an alternative source of income other than tourism?,258,preparedness,general,Coping mechanism,Alternative income source but more than 80% are dependent on tourism sector only.,258
i_econ_covid_effects_fin,कोभिड-१९ को कारणले गर्दा के तपाईंंले निम्न मध्ये कुनै ऋण सम्बन्धित प्रभावहरू भोग्नु/गर्नु पर्यो?,Which of the following loan related actions did you have to take due to the pandemic?,258,preparedness,general,Coping mechanism,"Burrowing Money: Most of them burrowed from friends or family, few did through financial institutions",258
i_econ_covid_effects_assets,कोभिड-१९ को कारणले गर्दा के तपाईंंले निम्न मध्ये कुनै सम्पत्ति सम्बन्धित असर भोग्नु/गर्नु पर्यो?,Which of the following assets related actions did you have to take due to the pandemic?,258,preparedness,general,Coping mechanism,One in four persons have had to sell their assets,258
i_econ_covid_effects_services,कोभिड-१९ को कारणले गर्दा के तपाईंंले निम्न मध्ये कुनै पारिवारिक सेवाहरूमा असर भोग्नु/गर्नु पर्यो?,Which of the following family services related actions did you have to take due to the pandemic?,258,preparedness,general,Coping mechanism,Stopped health and education services of family members,258
p_hlth_vaccinated_self,के तपाईंँले कोभिड-१९ को खोप लगाउनुभएको छ ?,Have you been vaccinated against Covid-19?,258,preparedness,general,Health and saftey actions,Nearly half of the respondents reported to be vaccinated against COVID-19,258
p_hlth_received_hhs_training_self,के तपाईंँले कोभिड-१९ सम्बन्धी स्वास्थ्य तथा सुरक्षाको तालिम प्राप्त गर्नुभएको छ ?,Have you received any health and safety training related to Covid-19?,258,preparedness,general,Health and saftey,"Health and safety training, More than 95% haven't receive any sort of health and saftey related training",258
i_mental_hlth_therapy,कोभिड-१९ले ल्याएको मानसिक तनावको लागि कुनै किसिमको स्वास्थ्य परामर्श सेवा लिनुभएको छ?,Have you taken any kind of health counseling service for the mental stress brought by Covid-19?,258,preparedness,general,Health and saftey,"Even if 95% reported some sorted of psycho-social impact, only 13% seeked for help",258
p_hlth_info_covid_src,कोभिड-१९ को बारेमा जानकारी पाउन निम्न मध्ये कुन-कुन स्रोतहरू प्रयोग गर्नुहुन्छ? (मुख्य तीनवटा छान्नुहोस्),Which of the following sources do you mainly use to get information about Covid-19? (Choose three main sources),258,preparedness,general,Health and saftey,"Getting informed about COVID-19, Social-Media on the top",258
n_rcvry_preferred_empl_incentives,कोभिड-१९ ले पारेको असर कम गर्न तपाईंँलाई निम्न मध्ये कुन-कुन रोजगार सम्बन्धि सहयोगहरु उपयुक्त हुन्छन् ?,Which of the following employment related support would help in reducing the effects of COVID-19 on you?,258,need,general,Assistance,What kind of employment related support will be useful?,258
n_rcvry_preferred_fin_incentives,कोभिड-१९ ले पारेको असर कम गर्न तपाईंँलाई निम्न मध्ये कुन-कुन आर्थिक सहयोगहरु उपयुक्त हुन्छन् ?,Which of the following financial support would help in reducing the effects of COVID-19 on you?,258,need,general,Assistance,What kind of financial support will be useful?,258
o_econ_impact_how_long_months,कोभिड-१९ ले तपाईंंको जिविकोपार्जनमा पारेको असर अझै कति समय सम्म रहला जस्तो छ ?,For how much longer do you expect the effect of the pandemic on your livelihood to last?,258,outlook,general,Workforce perception check,Most of them expects impact on livelihood to last for at least more than 12 months,258
o_empl_status_to_nrml_how_long_months,पर्यटन क्षेत्र सुचारु भएपश्चात आफ्नो रोजगार पहिलेको जस्तो अवस्थामा पुर्याउन कति समय लाग्ला?,How long will it take for your employment to return to normal after the tourism sector is up and running again? Provide your best estimate.,258,outlook,general,Workforce perception check,Employment will take time to return to normal even after tourism sector is up and running,258
o_impct_to_self_nxt_6_mnths,आउँदो ६ महिना सम्म यही परिस्थिति रहेमा निम्नमध्ये कुन-कुन अवस्था तपाईंंले भोग्नु पर्ने हुन्छ?,"If the current situation continues for the next 6 months, which of the following difficulties will you face?",258,outlook,general,Workforce perception check,Expected difficulties in the next six months,258
o_rcvry_chllng_trsm_revival,तपाईंं संलग्न रहेको पर्यटन क्षेत्रको पुन:उत्थानको निम्ति प्रमुख चुनौतीहरू के-के छन् ?,What are the major challenges for the revival of the tourism sub-sector you are involved in?,258,outlook,general,Workforce perception check,Biggest challenges of Nepali tourism: what do the workers think?,258
o_econ_impact_fml_income_chng_21_v_19,सन् २०१९ को तुलनामा सन् २०२१ मा तपाईंंको परिवारको आय कति रहने अनुमान छ?,What is the estimated income of your family in 2021 compared to 2019?,258,outlook,general,Workforce perception check,More than 60% estimated their income to be zero in 2021,258
m_gender,लिङ्ग,Gender,258,,general,general,,258
m_age,उमेर,Age,258,,general,general,,258
m_edu_levl,पूरा गरेको शैक्षिक तह,Completed educational level,258,,general,general,,258
m_years_of_experience,तपाईंँ पर्यटन क्षेत्रमा काम गर्नुभएको कति समय भयो?,How long have you been working in the tourism sector?,258,,general,general,,258
